Player,Mat,Inns,Not_outs,Runs,Highest_Inns_Score,Ave,Balls_Faced,Batting_Strike_Rate,100,50,0,4s,6s,Rookie_Year,Final_Year,Country,Career_Length
DG Bradman,52,80.0,10.0,6996.0,334,99.94,9800,58.6,29.0,13.0,7.0,626+,6,1928,1948,AUS,20
AC Voges,20,31.0,7.0,1485.0,269,61.87,2667,55.68,5.0,4.0,2.0,186,5,2015,2016,AUS,1
RG Pollock,23,41.0,4.0,2256.0,274,60.97,1707,54.48,7.0,11.0,1.0,246+,11,1963,1970,SA,7
GA Headley,22,40.0,4.0,2190.0,270,60.83,416,56.0,10.0,5.0,2.0,104+,1,1930,1954,WI,24
H Sutcliffe,54,84.0,9.0,4555.0,194,60.73,6558,34.59,16.0,23.0,2.0,202+,6,1924,1935,ENG,11
HC Brook,15,24.0,1.0,1378.0,186,59.91,1520,90.65,5.0,8.0,1.0,164,25,2022,2024,ENG,2
E Paynter,20,31.0,5.0,1540.0,243,59.23,1288,45.88,4.0,7.0,3.0,125+,4,1931,1939,ENG,8
KF Barrington,82,131.0,15.0,6806.0,256,58.67,4957,42.42,20.0,35.0,5.0,591+,27,1955,1968,ENG,13
ED Weekes,48,81.0,5.0,4455.0,207,58.61,0,0.0,15.0,19.0,6.0,258+,2,1948,1958,WI,10
WR Hammond,85,140.0,16.0,7249.0,336,58.45,7491,38.07,22.0,24.0,4.0,419+,27,1927,1947,ENG,20
GS Sobers,93,160.0,21.0,8032.0,365,57.78,4063,53.58,26.0,30.0,12.0,593+,32+,1954,1974,WI,20
KC Sangakkara,134,233.0,17.0,12400.0,319,57.4,22882,54.19,38.0,52.0,11.0,1491,51,2000,2015,SL,15
SPD Smith,109,195.0,25.0,9685.0,239,56.97,18100,53.5,32.0,41.0,10.0,1063,54,2010,2024,AUS,14
JB Hobbs,61,102.0,7.0,5410.0,211,56.94,5363,46.22,15.0,28.0,4.0,276+,8,1908,1930,ENG,22
CL Walcott,44,74.0,7.0,3798.0,220,56.68,0,0.0,15.0,14.0,1.0,107+,11,1948,1960,WI,12
L Hutton,79,138.0,15.0,6971.0,364,56.67,2844,39.34,19.0,33.0,5.0,358+,7,1937,1955,ENG,18
JH Kallis,166,280.0,40.0,13289.0,224,55.37,28903,45.97,45.0,58.0,16.0,1488,97,1995,2013,SA,18
GE Tyldesley,14,20.0,2.0,990.0,122,55.0,178,29.21,3.0,6.0,2.0,37+,2,1921,1929,ENG,8
KS Williamson,100,176.0,17.0,8743.0,251,54.98,17006,51.41,32.0,34.0,11.0,971,24,2010,2024,NZ,14
CA Davis,15,29.0,5.0,1301.0,183,54.2,665,35.48,4.0,4.0,1.0,65+,1,1968,1973,WI,5
VG Kambli,17,21.0,1.0,1084.0,227,54.2,1823,59.46,4.0,3.0,3.0,124,6,1993,1995,IND,2
GS Chappell,87,151.0,19.0,7110.0,247,53.86,13079,51.53,24.0,31.0,12.0,755,16,1970,1984,AUS,14
AD Nourse,34,62.0,7.0,2960.0,231,53.81,108,63.88,9.0,14.0,3.0,115+,6,1935,1951,SA,16
SR Tendulkar,200,329.0,33.0,15921.0,248,53.78,29437,54.04,51.0,68.0,14.0,2058+,69,1989,2013,IND,24
BC Lara,131,232.0,6.0,11953.0,400,52.88,19753,60.51,34.0,48.0,17.0,1559,88,1990,2006,WI,16
Javed Miandad,124,189.0,21.0,8832.0,280,52.57,15164,45.99,23.0,43.0,6.0,788+,48,1976,1993,PAK,17
R Dravid,164,286.0,32.0,13288.0,270,52.31,31258,42.51,36.0,63.0,8.0,1654,21,1996,2012,IND,16
Mohammad Yousuf,90,156.0,12.0,7530.0,223,52.29,14372,52.39,24.0,33.0,11.0,957,51,1998,2010,PAK,12
Younis Khan,118,213.0,19.0,10099.0,313,52.05,19375,52.12,34.0,33.0,19.0,1082,70,2000,2017,PAK,17
RT Ponting,168,287.0,29.0,13378.0,257,51.85,22782,58.72,41.0,62.0,17.0,1509,73,1995,2012,AUS,17
J Ryder,20,32.0,5.0,1394.0,201,51.62,2035,44.86,3.0,9.0,1.0,102+,3,1920,1929,AUS,9
A Flower,63,112.0,19.0,4794.0,232,51.54,10636,45.07,12.0,27.0,5.0,543,20,1992,2002,ZIM,10
MEK Hussey,79,137.0,16.0,6235.0,195,51.52,12436,50.13,19.0,29.0,12.0,685,39,2005,2013,AUS,8
S Chanderpaul,164,280.0,49.0,11867.0,203,51.37,27395,43.31,30.0,66.0,15.0,1285,36,1994,2015,WI,21
SM Gavaskar,125,214.0,16.0,10122.0,236,51.12,14184,43.35,34.0,45.0,12.0,908+,26,1971,1987,IND,16
SR Waugh,168,260.0,46.0,10927.0,200,51.06,22461,48.64,32.0,50.0,22.0,1175,20,1985,2004,AUS,19
ML Hayden,103,184.0,14.0,8625.0,380,50.73,14349,60.1,30.0,29.0,14.0,1049,82,1994,2009,AUS,15
AB de Villiers,114,191.0,18.0,8765.0,278,50.66,16077,54.51,22.0,46.0,8.0,1024,64,2004,2018,SA,14
AR Border,156,265.0,44.0,11174.0,205,50.56,27002,41.09,27.0,63.0,11.0,1161,28,1978,1994,AUS,16
DJ Mitchell,23,37.0,5.0,1608.0,190,50.25,3014,53.35,5.0,10.0,1.0,158,29,2019,2024,NZ,5
IVA Richards,121,182.0,12.0,8540.0,291,50.23,9613,69.77,24.0,45.0,10.0,952+,84,1974,1991,WI,17
JE Root,143,261.0,21.0,12027.0,254,50.11,21207,56.71,32.0,63.0,12.0,1306,44,2012,2024,ENG,12
DCS Compton,78,131.0,15.0,5807.0,278,50.06,2731,38.81,17.0,28.0,10.0,342+,3,1937,1957,ENG,20
DPMD Jayawardene,149,252.0,15.0,11814.0,374,49.84,22959,51.45,34.0,50.0,15.0,1387,61,1997,2014,SL,17
Inzamam-ul-Haq,120,200.0,22.0,8830.0,329,49.6,16345,54.02,25.0,46.0,15.0,1105,48,1992,2007,PAK,15
M Labuschagne,50,90.0,7.0,4114.0,215,49.56,7809,52.68,11.0,20.0,4.0,463,12,2018,2024,AUS,6
FMM Worrell,51,87.0,9.0,3860.0,261,49.48,488,40.16,9.0,22.0,11.0,240+,11,1948,1963,WI,15
CP Mead,17,26.0,2.0,1185.0,182,49.37,619,30.04,4.0,3.0,3.0,38+,0,1911,1928,ENG,17
V Sehwag,104,180.0,6.0,8586.0,319,49.34,10441,82.23,23.0,32.0,16.0,1233,91,2001,2013,IND,12
Abid Ali,16,26.0,2.0,1180.0,215,49.16,2445,48.26,4.0,3.0,2.0,148,5,2019,2021,PAK,2
V Kohli,113,191.0,11.0,8848.0,254,49.15,15924,55.56,29.0,30.0,14.0,991,26,2011,2024,IND,13
MJ Clarke,115,198.0,22.0,8643.0,329,49.1,15456,55.92,28.0,27.0,9.0,978,39,2004,2015,AUS,11
KC Bland,21,39.0,5.0,1669.0,144,49.08,885,37.74,3.0,9.0,2.0,123+,20,1961,1966,SA,5
B Mitchell,42,80.0,9.0,3471.0,189,48.88,158,29.11,8.0,21.0,3.0,41+,1,1929,1949,SA,20
TT Samaraweera,81,132.0,20.0,5462.0,231,48.76,11641,46.92,14.0,30.0,11.0,633,7,2001,2013,SL,12
RN Harvey,79,137.0,10.0,6149.0,205,48.41,1799,43.74,21.0,24.0,7.0,427+,1,1948,1963,AUS,15
KD Walters,74,125.0,14.0,5357.0,250,48.26,8662,49.16,15.0,33.0,4.0,525+,23,1965,1981,AUS,16
GC Smith,117,205.0,13.0,9265.0,277,48.25,15525,59.67,27.0,38.0,11.0,1165,24,2002,2014,SA,12
WH Ponsford,29,48.0,4.0,2122.0,266,48.22,3118,44.77,7.0,6.0,1.0,119+,0,1924,1934,AUS,10
SJ McCabe,39,62.0,5.0,2748.0,232,48.21,3217,60.02,6.0,13.0,4.0,241+,5+,1930,1938,AUS,8
DR Jardine,22,33.0,6.0,1296.0,127,48.0,2110,25.59,1.0,10.0,2.0,53+,0,1928,1934,ENG,6
